Station,Hour,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),10,0.9854932642072454,0.8460736714748073,0.44560840316676986,0.4937825099606565,0.6426264365942984,-0.2896202756018363,0.17649889645075542,-0.2540536705382769,0.5005708585244795,-0.2838334559384639
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),11,0.9805234271808089,0.8756384047684275,0.5801434342680888,0.6974079784717762,0.674207684180429,-0.15130450741780974,-0.029255167988662695,0.010970211889834481,0.5084641739073186,0.0032753508141673783
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),12,0.9777906190727509,0.8929546720997227,0.5419312776010767,0.7112845552171898,0.4925541760016844,-0.1075052171763924,-0.09729305427025721,0.05842248903716353,0.44734935225281164,-0.2868787526518319
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),13,0.9795195439837114,0.9182927887498835,0.5201084629057918,0.5308518077582219,0.5949190951154883,-0.027539113861607196,0.00897398643406746,-0.0593883085846593,0.37037688166004595,-0.2247254163251487
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),14,0.9878118624758676,0.9364954335221929,0.4497808535269277,0.32622662636897803,0.3375220653259809,-0.26100786021316075,-0.08411104774669528,0.07502284786872371,0.2627331315887271,-0.39445808574884017
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),15,0.9850268516212776,0.9209005430775058,0.5248470466302457,0.29478454770224954,0.3333350948351876,-0.06400483052698347,0.008846239455337322,0.02685454493646705,0.18406968660348594,-0.4533275386582595
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),16,0.9363022549783769,0.8963640020603231,0.6340525367993461,0.41113400937227906,0.4623394007939961,0.0345489394334706,-0.09643524847315765,-0.0014529599093963043,0.22798939108119792,-0.4520778458739095
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),17,0.9697381740064688,0.9198302499770338,0.6909226193781526,0.5901622881184104,0.4427226479211722,-0.037190540877383736,-0.18319471723295663,0.09882956519952983,0.1954010973916335,-0.11001272111126248
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),18,0.9783822273987651,0.9243760799548165,0.7097026989874806,0.5081473040430154,0.4060588335766733,0.03734163865258114,-0.14028533855179323,0.12287786261135765,0.19610186157204715,-0.09254561982302331
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),19,0.9910380972204079,0.9385287510896879,0.746064546718457,0.510933902347977,0.5401264141979001,-0.12082721980800541,-0.08369373947822686,0.003959249284931909,0.23472170109329832,-0.4065095245891275
